Date,CreateDate,Title,URL,Categories,Tags,NotesLink,Description,Remarks
2025-01-14,2025-01-11,"챗GPT로 미국 주식 포트폴리오 자동으로 관리하는 방법 feat 구글 스프레드 시트, Apps Script 코드 작성",https://www.youtube.com/watch?v=NN9pFgIHc50&list=WL&index=3&ab_channel=%EB%A9%94%ED%83%80%EC%BD%94%EB%93%9CM,ai," gpt,google,spreadsheet,apps_script",./챗GPT로-미국-주식-포트폴리오-자동으로-관리하는-방법-feat-구글-스프레드-시트-Apps-Script-코드-작성/readme.md,apps script를 이용하여 google spreadsheet에 주식 관련 내용 쉽게 처리 가능,
2025-01-19,2025-01-09,공부와 일의 효율을 2배로! NotebookLM,https://www.youtube.com/watch?v=Vse0oFS4BBw&list=PLo6G6c3Za_Rw4HNuVmKNCr9zA2S9D8sDX&index=1&pp=iAQB,ai,"notebooklm,google",,"upload한 문서 기준으로 요약 및 Q&A , 공유도 가능",생산성 앱의 모든 것 : https://www.youtube.com/watch?v=Vse0oFS4BBw&list=PLo6G6c3Za_Rw4HNuVmKNCr9zA2S9D8sDX
2025-01-19,2025-01-18,"무료 Google AI Studio, 유료 챗GPT에도 없는 기능 제공! 과연 답변 퀄리티는?",https://www.youtube.com/watch?v=h9l-d61GjI8,ai,"google,ai_studio,gemini",./google-ai-studio-free/readme.md,"screen share (audio로만 답변) , Tool을 사용하면서 기능에 대해서 모르면 어떻게 기능을 수행하는지 문의 (menu중심 설명?), 2개의 모델을 비교하는 chat가능",https://aistudio.google.com/
2025-01-19,2024-12-30,"구글 AI 제미나이(gemini) 2.0 사용법 총정리(실시간 화면 공유, 음성 대화, 검색 기능 등)",https://www.youtube.com/watch?v=sUBU2lH73Rw,ai,"google,ai_studio,gemini",./google-ai-studio-free/readme.md,"ai-studio의 사용예로 screen share에 대한 좋은 예를 보여줌 (Tool 사용, 작업하면서 바로 문의)
  - Talk to gemini를 눌러서 idea 회의를 한다. 
  - gemini 2.0 은 youtube 요약도 된다. 한국어보다는 영어만 잘된다.","구글 AI 스튜디오 https://aistudio.google.com/
  - 제미나이 사이트 https://gemini.google.com/app
  - 구글 제미나이 2.0에 대한 설명
  - https://blog.google/intl/ko-kr/compan..."
2025-01-20,2025-01-10,"AI에게 맡기는 비트코인 투자 자동화 with 빗썸, GPT, Gemini",https://www.youtube.com/watch?v=g71g8GKlmjE&t=26s,ai,"google,bitcoin,gemini,trading,auto,automation,jocoding",,"Remarks의 내용을 보면 gpt에 물어보고 , 물어보기 위한 fear&greed index 값을 받아오는 등의 작업을 이해 할수 있다. 여러가지 값을 넣어주고 , GPT에게 buy/sell  중에 선택을 하게 한다.","https://jocoding.net/gptbitcoin-bithumb
  - 유사 youtube : https://www.youtube.com/watch?v=EOnaOpZy9ew
  - https://jocoding.net/gptbitcoin"
2025-01-20,2022-07-04,CC) Automate stock investment easily - Complete automatic trading system in 20 minutes,https://www.youtube.com/watch?v=2Hxfb5HT4kE,automation,"jocoding,stock,trading",,한국투자증권은 restAPI사용한다. ,https://github.com/youtube-jocoding/koreainvestment-autotrade
2025-01-20,2025-01-13,"ChatGPT, Perplexity, Claude 보다 시각화에 엄청 더 쎈놈이 나타났다! 이제는 Felo의 시대! I AI에 날개를 달다 | 노가다헌터 | 정진일",https://www.youtube.com/watch?v=_n4nmIwLcJk,ai,"chatgpt,perplexity,claude,felo",,"FELO 를 사용하자. (시각화)
  - mindmap , notion 연동 가능 (유료는 ppt 생성)
  - 기본적으로 URL을 넣으면 기사나 동영상을 요약해서 보여준다.
  - 모든 것을 요약해서 발표 자료로 만든다.
  - 클로드 , openAi 등 선택할 수 있다.",https://felo.ai/ko/search
2025-01-20,2025-01-11,Agents에 대한 모든 기초 설명,https://www.youtube.com/watch?v=HujQhD8J2LQ,ai,agents,,"google agents 개발 백서 설명
  1. Agents can leverage one or more language models to decide when and how to transition through states and use external tools to complete any number of complex tasks that would be difficult or impossible for the model to complete on its own.
  2. ReAct, Chain-of-Thought, and Tree-of-Thoughts
  3. Tools, such as Extensions, Functions, and Data Stores, serve as the keys to the outside world for agents",
2025-01-24,2024-12-03,[속보] 테슬라 FSD13 (사기다!!),https://www.youtube.com/watch?v=LpMHYI4yIbs&ab_channel=%EC%9E%90%EB%8F%99%EC%B0%A8%EB%AF%B8%EC%83%9DAutoEngineerAmericanLife,IT,"FSD , tesla , self-driving",,테슬라는 이 시스템을 다른 OEM에 팔 것이다. 카메라만 사용하고 network을 사용하므로 전기차/게솔린차 모두 될 것이다.  비보호 좌회전도 된다.  한국의 자율주행의 수준을 알아야 한다. ,https://stibee.com/api/v1.0/emails/share/rjYnaa6OtEF8ykRO0h6c3o2x9eItcBg
2025-01-26,2025-01-23,강달러 끝? 원화 빠르게 반등하나 | 딥코노미 With 박소연 신영증권 연구원,https://www.youtube.com/watch?v=BfjOTI_2YVA&list=WL&index=5&ab_channel=%ED%95%9C%EA%B2%BD%EC%BD%94%EB%A6%AC%EC%95%84%EB%A7%88%EC%BC%93,economy,"환율하락,경기",,"한국 국채를 사러 달러들 들어올수 있어 환율이 내릴 여지가 많지만, 미국에서 이자율을 낮추지 않으면 환율이 내리기 쉽지 않다.
  - 트럼프는 규제 완화에 집중.",
